#﻿MIN=0	-90	-90	-90
#MAX=113.137084989848	90	90	90
#SCALE=113.137084989848	45	45	45
#DEC=2	1	1	1
#DEF="Tiempo" t / s	"Angulo" &a_A1 / °	"Angulo" &a_B1 / °	"Angulo" &a_A1 / °
7.947	-3.96	4.5	16.2
8.001	3.6	7.92	9.9
8.053	9.9	10.8	2.16
8.104	14.4	12.78	-5.4
8.156	16.38	14.04	-12.78
8.212	15.48	14.22	-17.46
8.264	11.88	13.32	-19.44
8.318	6.12	11.34	-18.18
8.37	-0.9	8.46	-13.5
8.427	-8.82	4.86	-6.66
8.483	-15.3	1.08	1.62
8.535	-19.44	-2.7	9.54
8.59	-21.24	-6.3	15.84
8.644	-20.16	-9.54	19.44
8.701	-15.84	-11.52	19.62
8.757	-9.54	-11.52	16.02
8.812	-2.52	-11.52	10.08
8.868	4.68	-11.52	1.98
8.923	10.26	-10.26	-6.48
8.982	13.68	-7.02	-14.04
9.038	13.86	-3.24	-18.9
9.092	11.34	0.72	-20.34
9.145	6.48	4.68	-18.54
9.203	-0.36	8.46	-13.14
9.26	-7.38	11.52	-5.04
9.317	-13.68	13.32	3.78
9.369	-17.46	14.22	11.88
9.424	-18.9	13.86	18
9.476	-17.82	12.6	21.6
9.529	-14.04	10.44	21.96
9.584	-8.28	7.38	18.9
9.638	-1.62	3.78	12.78
9.691	4.68	0.18	4.86
9.742	9.54	-3.24	-3.6
9.796	12.78	-6.84	-12.06
9.853	13.5	-9.72	-18.36
9.909	11.16	-11.52	-21.6
9.967	6.12	-11.52	-21.06
10.021	-0.36	-11.52	-16.74
10.077	-7.56	-11.52	-9.54
10.134	-14.22	-9.18	-0.54
10.192	-18.9	-5.94	8.46
10.247	-20.88	-2.34	15.66
10.302	-19.8	1.26	19.98
10.355	-16.02	4.86	21.42
10.409	-10.08	8.1	19.26
10.464	-2.7	10.98	14.04
10.52	4.86	12.78	7.02
10.569	10.62	13.68	-0.72
10.624	14.76	13.68	-8.64
10.677	16.02	12.6	-14.76
10.732	14.4	10.62	-18.72
10.788	10.08	7.74	-19.26
10.843	3.42	4.14	-16.2
10.898	-4.14	0.18	-10.08
10.955	-11.7	-3.6	-1.8
11.013	-17.82	-7.38	6.66
11.07	-21.42	-10.26	13.5
11.125	-21.6	-11.52	18
11.181	-18.9	-11.52	19.26
11.235	-13.5	-11.52	17.1
11.291	-6.48	-11.52	11.7
11.347	1.08	-9.18	4.32
11.403	7.74	-5.94	-3.6
11.461	12.6	-2.16	-11.16
11.516	14.58	1.98	-16.56
11.569	13.68	5.58	-19.08
11.623	10.08	9	-18.36
11.678	4.5	11.52	-14.58
11.732	-2.16	13.32	-7.92
11.787	-9.18	14.04	0.18
11.839	-14.58	13.68	7.74
11.893	-18.18	12.24	14.58
11.943	-19.26	10.08	19.08
11.995	-17.64	7.02	21.06
12.049	-13.68	3.24	19.44
12.106	-7.56	-0.72	14.4
12.162	-0.72	-4.5	6.66
12.219	5.76	-7.74	-1.62
12.275	10.62	-10.44	-9.72
12.33	12.96	-11.52	-16.56
12.384	12.6	-11.52	-20.34
12.437	9.72	-11.52	-21.06
12.491	4.5	-11.16	-18
12.549	-2.34	-8.64	-11.88
12.606	-9.36	-5.4	-3.24
12.665	-15.48	-1.44	6.12
12.721	-19.08	2.34	13.5
12.776	-19.98	5.76	18.72
12.829	-18	9	21.24
12.885	-13.14	11.52	20.34
12.938	-6.84	12.96	16.02
12.994	0.54	13.5	9.72
13.045	7.02	13.32	1.98
13.097	12.06	11.88	-5.76
13.149	15.12	9.72	-12.78
13.204	15.3	6.84	-17.46
13.257	12.6	3.42	-19.44
13.31	7.74	-0.18	-18.18
13.366	0.54	-3.78	-13.32
13.421	-6.66	-7.38	-6.12
13.48	-14.4	-10.08	2.34
13.536	-19.62	-11.52	9.72
13.59	-21.96	-11.52	15.48
13.645	-21.42	-11.52	18.54
13.703	-17.46	-10.98	18.18
13.758	-11.52	-8.64	14.58
13.813	-4.14	-5.4	8.46
13.869	3.42	-1.8	0.9
13.922	9.54	1.8	-6.12
13.976	13.68	5.58	-12.42
14.03	15.3	8.82	-16.74
14.082	14.04	11.34	-18.18
14.138	9.9	13.14	-16.2
14.194	3.78	13.86	-11.52
14.248	-3.24	13.5	-4.32
14.305	-10.44	11.88	3.6
14.358	-15.66	9.54	10.44
14.411	-19.08	6.48	16.38
14.466	-19.62	2.88	19.44
14.519	-17.46	-1.08	19.26
14.577	-12.6	-5.04	15.66
14.635	-5.94	-8.28	9
14.691	0.9	-10.8	1.44
14.743	6.66	-11.52	-6.3
14.799	11.16	-11.52	-13.5
14.853	12.96	-11.52	-18.36
14.907	12.24	-10.98	-20.34
14.964	8.64	-8.28	-18.72
15.018	3.24	-5.04	-14.04
15.072	-3.24	-1.44	-6.66
15.13	-10.26	2.7	1.8
15.184	-15.66	6.3	10.08
15.24	-18.72	9.18	16.38
15.293	-19.08	11.52	20.16
15.346	-16.92	12.96	21.06
15.399	-12.06	13.5	18.54
15.454	-5.76	12.96	12.96
15.51	1.62	11.34	5.58
15.565	7.92	9	-2.34
15.619	12.6	5.94	-9.9
15.671	14.58	2.7	-15.66
15.723	14.22	-0.9	-19.08
15.779	10.62	-4.5	-19.08
15.838	4.68	-7.92	-15.48
15.893	-2.52	-10.26	-9.18
15.952	-10.44	-11.52	-0.9
16.011	-16.92	-11.52	7.38
16.066	-20.7	-11.52	13.86
16.122	-21.78	-10.26	17.82
16.177	-19.62	-7.56	18.54
16.234	-14.58	-4.14	15.84
16.292	-7.56	-0.36	10.26
16.35	0.54	3.24	3.78
16.399	7.02	6.48	-3.24
16.453	12.24	9.54	-9.9
16.506	15.3	11.7	-14.76
16.559	15.66	13.14	-17.28
16.614	12.96	13.5	-16.74
16.666	8.1	12.96	-13.5
16.72	1.44	11.52	-7.92
16.773	-5.76	9	-0.54
16.829	-12.78	5.58	7.38
16.883	-17.82	1.98	13.5
16.94	-20.34	-1.8	17.64
16.996	-19.8	-5.58	18.54
17.052	-16.38	-8.64	16.2
17.108	-10.8	-10.98	10.8
17.164	-3.78	-11.52	3.42
17.22	3.06	-11.52	-3.96
17.275	8.82	-11.52	-11.52
17.332	12.42	-10.08	-16.92
17.388	13.32	-7.2	-19.08
17.441	11.52	-4.14	-18.36
17.496	7.02	-0.36	-14.4
17.551	1.08	3.42	-8.1
17.605	-5.58	7.02	-0.18
17.66	-11.88	9.9	8.1
17.715	-16.56	12.06	14.58
17.766	-18.72	13.14	18.9
17.82	-18.36	13.32	20.52
17.876	-15.12	12.42	18.9
17.93	-9.72	10.62	14.22
17.986	-2.88	7.92	7.02
18.04	3.6	4.86	-0.54
18.094	9.18	1.26	-8.28
18.148	12.78	-2.16	-14.76
18.204	13.86	-5.76	-18.54
18.26	12.06	-8.64	-19.26
18.314	7.74	-10.8	-16.74
18.369	1.44	-11.52	-11.34
18.423	-5.58	-11.52	-3.96
18.48	-12.6	-11.52	4.32
18.535	-18	-9.72	11.34
18.591	-20.88	-6.84	16.56
18.649	-20.7	-3.6	18.54
18.704	-17.46	0.18	17.46
18.757	-12.06	3.6	13.5
18.812	-5.04	7.02	7.38
18.866	2.52	9.72	0.54
18.918	8.82	11.7	-6.12
18.972	13.5	12.96	-12.06
19.027	15.84	13.32	-16.02
19.082	14.94	12.42	-16.92
19.137	11.34	10.8	-14.94
19.19	5.76	8.28	-10.26
19.244	-1.44	4.86	-3.6
19.3	-9	1.44	3.6
19.354	-15.3	-2.34	10.44
19.41	-19.8	-5.94	15.48
19.467	-21.24	-9	17.64
19.524	-19.62	-10.98	16.56
19.578	-15.3	-11.52	12.6
19.632	-9	-11.52	6.3
19.688	-1.8	-11.52	-1.26
19.747	5.4	-9.54	-8.46
19.802	10.8	-6.66	-14.4
19.859	13.68	-3.06	-17.64
19.916	13.68	0.72	-17.64
19.972	10.62	4.32	-14.76
20.028	5.22	7.74	-9.18
20.081	-1.08	10.44	-1.62
20.139	-8.1	12.42	6.48
20.192	-13.86	13.14	12.96
20.244	-17.46	13.14	17.82
20.298	-18.72	11.88	19.8
20.354	-17.28	9.9	18.72
20.407	-13.5	7.02	14.76
20.459	-7.92	3.78	8.64
20.514	-1.26	0.18	0.9
20.567	4.86	-3.06	-6.66
20.622	9.9	-6.48	-13.32
20.677	12.78	-9.18	-17.82
20.734	12.78	-11.16	-19.26
20.79	10.08	-11.52	-17.28
20.843	5.22	-11.52	-12.6
20.9	-1.44	-10.98	-5.22
20.957	-8.46	-8.82	2.88
21.011	-14.4	-5.94	10.08
21.066	-18.72	-2.52	15.66
21.121	-20.16	0.9	18.36
21.173	-19.08	4.32	18.54
21.227	-15.3	7.56	15.66
21.281	-9.36	10.08	10.44
21.335	-2.34	12.06	3.6
21.388	4.86	12.96	-3.06
21.441	10.44	12.96	-9.9
21.496	14.4	12.06	-14.4
21.545	15.48	10.44	-16.74
21.597	14.04	7.74	-16.38
21.65	10.08	4.86	-13.5
21.701	4.32	1.44	-8.46
21.754	-2.7	-1.98	-1.26
21.813	-10.62	-5.76	6.48
21.87	-16.74	-8.64	12.24
21.923	-20.52	-10.62	16.02
21.976	-21.6	-11.52	17.1
22.031	-19.8	-11.52	15.3
22.084	-15.3	-11.52	10.8
22.14	-8.64	-9.54	3.96
22.197	-1.08	-6.84	-3.42
22.257	6.48	-3.42	-10.26
22.314	11.7	0.36	-14.94
22.366	14.22	3.78	-17.1
22.421	14.22	7.02	-16.38
22.475	11.52	9.9	-12.78
22.532	5.94	11.88	-6.84
22.586	-0.54	12.96	0.9
22.64	-7.2	12.96	7.74
22.692	-13.14	12.06	13.68
22.747	-17.46	10.26	17.82
22.799	-19.08	7.74	18.9
22.853	-18.18	4.5	17.28
22.906	-14.58	0.9	12.78
22.96	-9.36	-2.52	6.3
23.015	-2.88	-5.76	-1.26
23.071	3.78	-8.64	-8.82
23.127	9	-10.8	-15.12
23.185	12.24	-11.52	-18.36
23.24	12.42	-11.52	-18.72
23.293	10.26	-11.16	-15.66
23.35	5.58	-9.36	-10.08
23.406	-0.9	-6.12	-1.8
23.469	-8.46	-2.52	6.48
23.525	-14.22	1.08	12.78
23.579	-18	4.5	17.28
23.631	-19.26	7.56	19.08
23.689	-17.82	10.26	17.64
23.743	-13.68	12.06	13.5
23.795	-7.74	12.78	7.2
23.851	-0.9	12.78	-0.18
23.907	6.12	11.7	-7.02
23.96	11.34	9.54	-12.78
24.013	14.22	7.02	-16.2
24.067	14.58	3.78	-17.1
24.119	12.24	0.54	-15.12
24.172	7.74	-2.88	-10.62
24.226	1.08	-6.12	-4.14
24.283	-6.3	-9	3.78
24.34	-13.5	-10.98	10.08
24.397	-18.72	-11.52	14.76
24.452	-21.24	-11.52	16.74
24.508	-20.88	-10.8	15.66
24.563	-17.46	-8.64	11.88
24.619	-11.52	-5.76	5.76
24.674	-4.5	-2.34	-0.9
24.732	3.24	1.08	-7.56
24.785	9.36	4.5	-12.78
24.839	13.32	7.74	-15.84
24.894	14.94	10.26	-16.2
24.946	13.86	12.06	-13.68
25	10.08	12.78	-9
25.053	4.5	12.78	-2.7
25.105	-2.16	11.7	4.86
25.162	-9.36	9.54	11.16
25.217	-15.12	6.84	15.84
25.271	-18.72	3.6	18
25.326	-19.62	0.18	17.28
25.376	-18	-3.06	13.5
25.433	-13.68	-6.48	7.56
25.489	-7.56	-9.18	-0.18
25.549	-0.18	-11.16	-8.1
25.608	6.3	-11.52	-13.86
25.661	10.62	-11.52	-17.46
25.717	12.6	-10.44	-18.18
25.771	12.06	-8.28	-15.84
25.828	8.64	-5.4	-10.62
25.883	3.42	-2.16	-3.78
25.937	-3.06	1.62	3.96
25.991	-9.36	5.04	10.8
26.045	-14.76	8.1	16.2
26.101	-17.82	10.44	18.9
26.157	-18.36	12.06	18.36
26.213	-16.02	12.78	14.94
26.268	-11.52	12.42	9
26.323	-5.4	10.98	1.98
26.376	1.26	9	-4.86
26.43	7.2	6.12	-11.16
26.483	11.52	3.06	-15.48
26.538	13.68	-0.54	-17.46
26.596	12.96	-4.14	-15.84
26.653	9.18	-7.38	-11.52
26.708	3.6	-9.72	-5.04
26.765	-3.6	-11.16	2.34
26.82	-10.62	-11.52	9.18
26.877	-16.56	-11.34	14.04
26.934	-20.16	-9.72	16.56
26.993	-20.7	-7.2	15.84
27.053	-18	-3.78	11.88
27.111	-12.42	-0.18	5.76
27.168	-5.4	3.6	-1.08
27.227	2.52	6.84	-7.56
27.282	8.64	9.36	-12.42
27.334	13.14	11.34	-15.3
27.389	15.12	12.42	-15.3
27.446	14.22	12.6	-12.6
27.5	10.44	11.88	-7.74
27.553	4.86	10.08	-1.62
27.606	-1.98	7.38	5.58
27.663	-9.36	4.32	11.52
27.716	-15.12	0.9	15.66
27.771	-19.08	-2.52	17.1
27.827	-20.34	-5.94	15.48
27.883	-18.54	-8.64	11.34
27.939	-14.04	-10.62	4.86
27.994	-7.92	-11.52	-2.16
28.05	-1.08	-11.52	-9.36
28.109	5.58	-10.8	-14.58
28.164	10.44	-8.64	-17.28
28.217	12.78	-5.94	-17.1
28.274	12.6	-2.7	-13.86
28.329	9.72	0.72	-8.64
28.382	4.86	3.96	-2.16
28.434	-1.26	7.2	5.58
28.488	-7.56	9.72	11.88
28.54	-12.96	11.52	16.74
28.595	-16.74	12.42	18.72
28.646	-18.18	12.6	18.18
28.697	-17.1	11.7	14.94
28.75	-13.86	10.08	9.72
28.802	-8.64	7.74	2.7
28.857	-2.34	4.5	-4.86
28.916	4.32	1.08	-11.16
28.969	9.18	-2.16	-15.84
29.024	12.24	-5.58	-17.64
29.081	12.78	-8.28	-16.2
29.135	10.44	-10.26	-12.06
29.191	5.76	-11.52	-5.94
29.248	-0.72	-11.52	1.8
29.304	-7.74	-10.62	9
29.365	-14.22	-8.64	14.04
29.421	-18.36	-5.76	16.74
29.478	-19.98	-2.34	16.2
29.534	-18.54	1.26	13.14
29.586	-14.76	4.32	7.74
29.642	-8.82	7.56	1.26
29.696	-1.8	9.9	-5.04
29.749	4.86	11.52	-10.26
29.8	10.26	12.42	-14.04
29.853	13.86	12.42	-15.3
29.907	14.94	11.52	-14.22
29.96	13.32	9.72	-10.62
30.014	9	7.2	-4.68
30.071	2.34	3.78	2.16
30.126	-4.68	0.36	8.46
30.181	-11.52	-2.88	13.5
30.236	-16.92	-6.12	16.02
30.294	-20.16	-8.82	15.66
30.35	-20.34	-10.62	12.6
30.407	-17.64	-11.34	7.02
30.462	-12.42	-11.52	0.36
30.516	-5.94	-10.26	-6.48
30.574	1.44	-8.1	-12.24
30.63	7.56	-5.4	-15.84
30.685	11.7	-2.16	-16.74
30.739	13.5	1.26	-14.76
30.794	12.42	4.5	-10.26
30.849	9	7.56	-3.96
30.903	3.6	9.9	3.06
30.954	-2.52	11.52	9.72
31.008	-8.64	12.42	14.94
31.059	-13.86	12.24	17.82
31.115	-17.28	11.16	18.18
31.169	-18.18	9.18	15.48
31.223	-16.38	6.66	10.44
31.276	-12.6	3.6	4.14
31.327	-7.2	0.36	-2.88
31.384	-0.72	-3.24	-10.44
31.443	5.76	-6.3	-15.3
31.501	10.08	-8.82	-17.46
31.555	12.06	-10.62	-16.74
31.611	11.52	-11.52	-13.14
31.665	8.46	-11.52	-7.56
31.718	3.42	-10.44	-0.54
31.775	-2.88	-8.1	7.02
31.83	-9.36	-5.4	12.6
31.886	-14.76	-1.98	16.38
31.943	-18.18	1.62	17.1
31.999	-18.9	4.86	14.94
32.054	-16.74	7.92	10.26
32.11	-12.24	10.26	3.96
32.164	-6.12	11.88	-2.52
32.219	0.72	12.42	-8.46
32.273	7.02	12.06	-12.96
32.328	11.7	10.8	-15.3
32.384	14.22	8.64	-14.76
32.439	13.68	5.94	-11.52
32.492	10.62	2.7	-6.48
32.547	5.22	-0.72	0.36
32.602	-1.44	-4.14	6.84
32.658	-8.64	-7.02	12.06
32.714	-14.94	-9.54	15.3
32.772	-19.26	-10.8	15.48
32.828	-20.7	-11.34	12.96
32.882	-19.26	-10.98	8.28
32.937	-15.3	-9.54	1.98
32.993	-9.18	-7.2	-4.86
33.051	-1.62	-3.96	-10.98
33.11	5.4	-0.72	-14.76
33.165	10.62	2.7	-15.84
33.219	13.5	5.76	-14.58
33.273	13.68	8.64	-10.26
33.328	11.34	10.62	-4.5
33.383	6.48	11.88	2.7
33.436	0.54	12.24	8.46
33.486	-5.58	11.7	13.86
33.539	-11.52	10.44	16.92
33.59	-15.84	8.28	17.64
33.645	-18.36	5.4	15.48
33.7	-18.18	2.16	10.62
33.754	-15.3	-1.08	4.14
33.811	-10.26	-4.32	-3.06
33.87	-3.6	-7.38	-10.26
33.929	3.06	-9.72	-15.12
33.986	8.28	-10.98	-17.28
34.041	11.16	-11.34	-16.56
34.097	11.88	-10.8	-12.78
34.152	9.72	-9.18	-7.2
34.207	5.58	-6.84	0
34.258	0.18	-3.96	6.3
34.31	-5.76	-0.72	12.24
34.366	-11.7	2.7	16.2
34.42	-16.02	5.94	17.46
34.474	-18	8.64	15.84
34.528	-17.46	10.8	11.88
34.581	-14.58	11.88	6.12
34.635	-9.72	12.24	-0.36
34.69	-3.42	11.7	-7.02
34.747	3.42	10.26	-12.06
34.8	8.82	7.92	-15.12
34.856	12.42	4.86	-15.3
34.911	13.5	1.8	-13.14
34.963	11.88	-1.44	-8.46
35.019	7.74	-4.86	-2.16
35.075	1.62	-7.74	4.32
35.128	-4.86	-9.72	10.26
35.186	-11.7	-10.98	14.04
35.24	-16.74	-11.16	15.48
35.295	-19.8	-10.8	14.22
35.35	-20.16	-9	10.26
35.406	-17.46	-6.3	4.14
35.466	-12.06	-3.24	-2.52
35.525	-5.04	0.36	-8.64
35.579	1.98	3.42	-12.78
35.634	8.1	6.48	-15.12
35.686	12.06	9	-14.76
35.741	14.04	10.8	-11.7
35.793	13.5	11.88	-6.84
35.849	10.08	12.06	-0.54
35.901	5.04	11.34	5.94
35.952	-1.08	9.72	11.52
36.004	-7.56	7.56	15.48
36.06	-13.5	4.5	16.92
36.115	-17.46	1.26	15.48
36.171	-19.08	-1.98	11.34
36.229	-17.64	-5.22	4.86
36.287	-13.5	-8.1	-2.34
36.346	-7.2	-10.08	-9.36
36.407	-0.36	-10.98	-14.58
36.466	5.76	-10.98	-16.92
36.518	9.9	-10.08	-16.38
36.574	11.88	-8.1	-13.14
36.631	11.16	-5.4	-7.38
36.686	8.1	-2.34	-0.54
36.741	3.06	0.72	5.94
36.79	-2.52	3.96	11.88
36.844	-8.28	6.84	15.84
36.898	-13.32	9.36	17.64
36.951	-16.56	11.16	16.56
37.005	-17.46	12.06	12.96
37.057	-16.02	12.06	7.56
37.112	-12.06	10.98	0.36
37.169	-6.48	9.18	-6.12
37.225	-0.18	6.66	-11.7
37.28	5.94	3.6	-15.12
37.334	10.08	0.36	-15.84
37.389	12.24	-2.88	-13.86
37.443	11.88	-5.94	-9.54
37.499	9	-8.46	-3.42
37.555	3.96	-10.26	3.06
37.607	-1.98	-10.98	9.18
37.664	-8.64	-11.16	13.5
37.721	-14.58	-9.9	15.48
37.776	-18.18	-7.92	14.58
37.831	-19.44	-5.22	11.16
37.885	-18.18	-2.16	5.94
37.939	-14.22	1.08	-0.18
37.995	-8.28	4.5	-6.3
38.05	-1.44	7.38	-11.34
38.105	5.04	9.54	-14.04
38.155	9.9	10.98	-14.58
38.207	13.14	11.88	-12.78
38.26	14.04	11.88	-8.82
38.313	12.24	10.98	-3.24
38.365	8.46	9.36	2.7
38.416	3.06	7.02	8.28
38.467	-3.06	3.96	13.14
38.522	-9.72	0.9	15.84
38.577	-15.12	-2.34	15.66
38.632	-18.54	-5.22	12.96
38.687	-19.44	-7.74	8.1
38.742	-17.28	-9.72	1.62
38.798	-13.14	-10.62	-5.22
38.857	-6.66	-10.8	-11.52
38.915	0	-10.08	-15.3
38.971	6.12	-8.1	-16.56
39.027	10.26	-5.58	-14.94
39.082	12.24	-2.7	-10.62
39.137	11.52	0.54	-4.86
39.188	8.64	3.6	1.62
39.238	4.32	6.3	7.74
39.289	-1.26	8.82	13.32
39.343	-7.2	10.62	16.74
39.395	-12.06	11.7	17.64
39.448	-15.66	11.88	15.84
39.5	-17.1	11.34	11.88
39.554	-16.2	9.72	6.12
39.606	-12.96	7.56	-0.54
39.662	-8.1	4.68	-7.38
39.718	-1.98	1.26	-12.78
39.776	4.14	-1.98	-15.84
39.831	8.64	-5.04	-16.02
39.887	11.16	-7.74	-13.32
39.943	11.34	-9.72	-8.28
39.999	8.64	-10.8	-1.98
40.055	4.14	-10.98	4.68
40.108	-1.62	-10.26	10.44
40.165	-7.92	-8.46	14.4
40.221	-13.5	-5.76	15.66
40.277	-17.1	-2.7	14.22
40.331	-18.36	0.54	10.44
40.385	-17.28	3.78	5.04
40.437	-13.68	6.48	-0.54
40.491	-8.28	9	-6.66
40.547	-1.8	10.8	-11.52
40.601	4.5	11.7	-14.04
40.656	9.36	11.88	-14.22
40.708	12.78	10.98	-11.7
40.765	13.5	9.18	-7.2
40.821	11.34	6.66	-1.08
40.878	6.84	3.6	5.04
40.927	1.44	0.72	10.08
40.979	-4.86	-2.52	14.04
41.035	-11.34	-5.4	15.3
41.091	-16.38	-7.92	14.04
41.147	-19.08	-9.72	10.44
41.202	-19.26	-10.62	4.5
41.257	-16.56	-10.62	-1.98
41.316	-11.52	-9.72	-8.46
41.374	-5.04	-7.74	-13.32
41.43	1.62	-5.22	-15.66
41.486	7.38	-2.16	-15.3
41.543	11.16	1.08	-12.42
41.596	12.42	3.96	-7.38
41.649	11.52	6.66	-1.26
41.703	8.1	9	5.58
41.754	3.42	10.62	10.98
41.805	-2.34	11.52	15.48
41.859	-8.28	11.52	17.28
41.913	-13.14	10.62	16.38
41.969	-16.38	9	12.96
42.022	-17.1	6.66	7.56
42.076	-15.66	3.96	1.26
42.128	-12.06	0.72	-5.58
42.184	-6.66	-2.34	-11.52
42.24	-0.72	-5.4	-15.3
42.297	4.86	-7.92	-16.38
42.351	8.82	-9.72	-14.76
42.408	10.8	-10.8	-10.62
42.462	10.26	-10.8	-4.68
42.518	7.38	-9.9	2.16
42.572	2.88	-8.1	8.46
42.628	-2.88	-5.58	13.32
42.682	-8.64	-2.52	15.66
42.738	-13.68	0.72	15.48
42.791	-16.56	3.96	12.96
42.844	-17.46	6.66	8.28
42.899	-15.84	9.18	2.16
42.953	-11.88	10.98	-3.96
43.009	-6.3	11.7	-9.36
43.065	0	11.7	-12.96
43.116	5.4	10.8	-14.22
43.168	9.9	9.18	-13.32
43.22	12.24	6.66	-10.26
43.274	12.6	3.78	-5.04
43.33	10.08	0.54	0.9
