#﻿MIN=0	-90	-90	-90
#MAX=56.5685424949238	90	90	90
#SCALE=56.5685424949238	45	45	45
#DEC=2	1	1	1
#DEF="Tiempo" t / s	"Angulo" &a_A1 / °	"Angulo" &a_B1 / °	"Angulo" &a_A1 / °
3.124	-5.22	0.9	9.72
3.176	-9	0.54	13.68
3.23	-10.8	0.18	15.84
3.283	-10.8	-0.18	15.66
3.341	-8.28	-0.72	12.78
3.397	-4.32	-1.26	7.74
3.453	0.72	-1.62	1.98
3.507	5.22	-1.98	-3.96
3.565	8.82	-1.98	-9.36
3.621	10.44	-1.98	-12.96
3.678	9.72	-1.62	-14.04
3.732	7.02	-1.26	-12.6
3.787	2.7	-0.54	-8.64
3.845	-2.16	0	-3.42
3.901	-6.48	0.72	2.88
3.954	-9.36	1.08	8.64
4.008	-10.44	1.44	13.14
4.062	-9.54	1.44	15.66
4.114	-6.66	1.44	15.84
4.169	-2.34	1.08	13.68
4.225	2.52	0.72	9.72
4.276	6.48	0.36	4.5
4.329	9.54	0	-1.26
4.382	10.8	-0.36	-7.02
4.439	10.08	-0.72	-11.7
4.497	6.84	-0.9	-13.86
4.555	2.16	-1.08	-13.32
4.612	-2.88	-1.08	-10.26
4.668	-7.38	-1.08	-5.04
4.727	-10.44	-1.08	1.44
4.785	-11.16	-1.08	7.38
4.84	-9.72	-1.08	12.24
4.895	-6.12	-0.9	15.3
4.954	-1.08	-0.9	15.84
5.014	4.14	-0.54	13.5
5.068	8.1	-0.36	9.36
5.122	10.44	0	4.32
5.173	10.8	0.36	-1.26
5.227	9.18	0.54	-6.84
5.281	5.76	0.9	-11.16
5.333	1.62	1.26	-13.5
5.386	-3.06	1.26	-13.5
5.443	-7.2	1.26	-11.16
5.497	-9.54	1.08	-6.84
5.552	-10.26	0.72	-1.08
5.608	-8.64	0.18	5.04
5.662	-5.58	-0.36	10.44
5.719	-0.9	-1.08	14.4
5.776	3.78	-1.62	15.66
5.829	7.2	-1.98	14.76
5.884	9.54	-2.16	11.7
5.937	9.72	-2.16	6.84
5.991	8.1	-1.98	1.26
6.042	5.04	-1.62	-4.14
6.096	0.72	-1.08	-9.18
6.151	-3.78	-0.36	-12.78
6.209	-7.74	0.18	-13.68
6.264	-9.9	0.72	-12.24
6.32	-9.9	1.08	-8.46
6.375	-7.92	1.26	-3.06
6.431	-4.32	1.26	2.7
6.483	-0.18	1.08	8.1
6.536	4.32	0.9	12.42
6.591	8.1	0.54	15.12
6.641	10.08	0.36	15.66
6.694	10.62	0	14.04
6.747	9	-0.18	9.9
6.802	5.58	-0.36	4.5
6.858	1.08	-0.54	-1.26
6.914	-3.78	-0.72	-7.2
6.973	-8.1	-0.9	-11.52
7.031	-10.44	-0.9	-13.5
7.09	-10.44	-1.08	-12.78
7.147	-8.28	-1.26	-9.54
7.207	-4.14	-1.26	-4.32
7.263	0.54	-1.26	1.62
7.318	5.04	-1.26	7.2
7.373	8.46	-0.9	11.88
7.426	10.08	-0.72	14.76
7.48	9.9	-0.18	15.66
7.531	7.74	0.18	14.22
7.584	4.32	0.72	10.98
7.635	0.36	1.08	5.94
7.687	-3.78	1.44	0
7.742	-7.38	1.44	-5.4
7.799	-9.36	1.44	-10.26
7.856	-9.36	1.26	-12.96
7.911	-7.2	0.72	-13.32
7.965	-3.78	0.18	-11.34
8.021	0.54	-0.36	-7.2
8.077	4.68	-1.08	-1.62
8.133	8.1	-1.44	4.5
8.188	9.54	-1.8	9.72
8.242	9	-1.98	13.5
8.296	6.84	-1.98	15.3
8.35	3.06	-1.62	14.94
8.405	-1.26	-1.26	12.06
8.461	-5.58	-0.9	7.2
8.519	-8.82	-0.36	1.26
8.576	-10.08	0	-4.32
8.631	-9.18	0.36	-9.36
8.687	-6.3	0.72	-12.6
8.745	-2.16	0.72	-13.32
8.799	2.34	0.72	-11.88
8.853	6.3	0.72	-8.46
8.904	9.18	0.72	-3.6
8.958	10.26	0.54	2.34
9.011	9.54	0.54	7.74
9.064	7.2	0.36	12.06
9.114	3.6	0.18	14.76
9.165	-0.72	0	15.48
9.218	-4.86	-0.18	13.86
9.276	-8.46	-0.36	9.72
9.333	-10.08	-0.72	4.14
9.391	-9.54	-0.9	-1.98
9.45	-6.84	-1.26	-7.38
9.506	-2.7	-1.44	-11.52
9.566	1.98	-1.62	-13.32
9.623	5.94	-1.62	-12.6
9.678	8.64	-1.44	-9.54
9.735	9.54	-1.08	-4.5
9.791	8.28	-0.54	1.62
9.848	5.4	0	7.02
9.899	1.62	0.36	11.34
9.951	-2.52	0.9	14.58
10.005	-6.12	1.26	15.48
10.059	-8.46	1.44	14.04
10.112	-9.18	1.44	10.62
10.167	-8.1	1.26	5.76
10.22	-5.4	1.08	-0.18
10.277	-1.26	0.54	-5.76
10.333	3.06	0	-10.08
10.387	6.48	-0.54	-12.78
10.444	9	-1.08	-13.14
10.5	9.36	-1.26	-10.8
10.557	7.74	-1.62	-6.3
10.616	4.32	-1.62	-0.36
10.675	-0.18	-1.44	5.76
10.731	-4.5	-1.26	10.98
10.789	-8.1	-1.08	14.22
10.845	-9.9	-0.72	15.3
10.904	-9.54	-0.36	13.86
10.959	-7.2	-0.18	9.9
11.017	-3.24	0	4.86
11.071	1.26	0.18	-0.72
11.125	5.4	0.36	-6.12
11.178	8.46	0.54	-10.26
11.232	9.9	0.54	-12.78
11.286	9.54	0.72	-13.14
11.34	7.38	0.72	-11.16
11.394	3.96	0.72	-7.38
11.446	-0.18	0.72	-1.98
11.502	-4.5	0.54	3.96
11.555	-7.56	0.36	9
11.608	-9.36	0	12.96
11.66	-9.36	-0.36	15.12
11.718	-7.38	-0.9	14.76
11.773	-3.96	-1.26	11.88
11.831	0.36	-1.62	7.74
11.884	4.32	-1.8	2.16
11.939	7.38	-1.8	-3.6
11.997	9	-1.8	-8.82
12.054	8.46	-1.44	-12.24
12.111	6.12	-0.9	-13.14
12.166	2.52	-0.36	-11.7
12.223	-1.62	0.18	-8.28
12.278	-5.4	0.72	-3.06
12.335	-8.1	1.08	2.7
12.387	-9	1.44	8.28
12.444	-7.92	1.44	12.6
12.497	-5.4	1.26	14.94
12.549	-1.98	0.9	15.12
12.602	2.16	0.54	13.32
12.652	5.58	0.18	9.72
12.703	8.1	-0.18	4.5
12.76	9.36	-0.54	-1.08
12.814	8.64	-0.9	-6.48
12.87	6.3	-1.08	-10.62
12.924	2.52	-1.26	-12.96
12.98	-1.8	-1.26	-12.78
13.039	-5.94	-1.08	-9.9
13.098	-8.82	-1.08	-4.86
13.158	-9.72	-0.9	1.26
13.216	-8.28	-0.9	7.02
13.272	-5.22	-0.72	11.7
13.328	-1.26	-0.54	14.58
13.385	3.24	-0.36	15.12
13.438	6.66	-0.18	13.5
13.492	9	0	9.72
13.547	9.36	0.36	4.86
13.599	8.28	0.54	-0.72
13.655	5.22	0.9	-6.3
13.711	1.26	1.08	-10.44
13.765	-2.88	1.08	-12.78
13.821	-6.3	1.08	-12.78
13.877	-8.46	0.9	-10.44
13.932	-8.82	0.54	-6.12
13.988	-7.38	0	-0.72
14.044	-4.32	-0.54	5.58
14.1	-0.36	-1.08	10.62
14.159	3.78	-1.62	14.04
14.213	6.66	-1.8	15.12
14.267	8.28	-1.98	14.04
14.322	8.28	-1.98	10.62
14.377	6.48	-1.62	5.94
14.43	3.42	-1.26	0.18
14.486	-0.54	-0.72	-5.76
14.547	-4.68	0	-10.08
14.603	-7.56	0.36	-12.6
14.659	-8.82	0.9	-12.78
14.715	-8.1	1.08	-10.62
14.77	-5.76	1.08	-6.48
14.826	-2.16	1.08	-1.08
14.881	1.98	0.9	4.68
14.934	5.58	0.72	9.54
14.985	8.1	0.36	13.14
15.037	9.18	0.18	14.94
15.088	8.82	-0.18	14.76
15.141	6.66	-0.36	12.42
15.194	3.42	-0.54	8.1
15.25	-0.9	-0.72	2.52
15.306	-4.86	-0.9	-3.42
15.366	-8.1	-0.9	-8.64
15.425	-9.36	-1.08	-11.88
15.482	-8.64	-1.08	-12.96
15.54	-5.94	-1.08	-11.34
15.601	-1.98	-1.08	-7.2
15.658	2.34	-1.08	-1.98
15.714	5.94	-0.9	3.78
15.768	8.28	-0.54	8.82
15.821	9	-0.36	12.6
15.874	7.92	0.18	14.76
15.924	5.76	0.54	14.76
15.976	2.34	0.9	12.96
16.026	-1.26	1.08	9.18
16.081	-4.86	1.26	4.14
16.134	-7.38	1.26	-1.62
16.191	-8.46	1.08	-7.02
16.247	-7.74	0.9	-10.8
16.303	-5.22	0.36	-12.78
16.357	-1.8	-0.18	-12.24
16.417	2.34	-0.72	-9.54
16.474	5.76	-1.26	-4.68
16.532	7.92	-1.62	1.08
16.585	8.28	-1.8	6.3
16.638	7.02	-1.8	10.98
16.693	4.32	-1.62	14.04
16.749	0.54	-1.44	14.94
16.805	-3.42	-0.9	13.32
16.862	-6.66	-0.54	9.36
16.92	-8.46	0	4.68
16.972	-8.64	0.36	-1.08
17.03	-6.84	0.54	-6.66
17.088	-3.42	0.72	-10.8
17.146	0.72	0.72	-12.6
17.201	4.5	0.72	-12.24
17.256	7.56	0.72	-9.72
17.309	9	0.54	-5.4
17.364	8.82	0.54	-0.18
17.419	6.84	0.36	5.4
17.471	3.78	0.18	10.08
17.524	0	0	13.32
17.573	-3.6	-0.18	14.76
17.631	-7.02	-0.54	13.86
17.69	-8.82	-0.72	10.62
17.746	-8.82	-0.9	5.76
17.803	-6.84	-1.26	-0.18
17.864	-3.24	-1.44	-5.94
17.922	0.9	-1.44	-10.26
17.98	4.86	-1.44	-12.6
18.038	7.38	-1.26	-12.42
18.094	8.46	-0.9	-9.9
18.15	7.74	-0.54	-5.4
18.208	5.04	0	-0.18
18.262	1.8	0.54	5.4
18.314	-1.8	0.9	10.08
18.366	-5.04	1.26	13.5
18.423	-7.38	1.44	14.94
18.477	-8.1	1.44	13.86
18.532	-7.2	1.26	10.98
18.585	-4.86	0.9	6.3
18.637	-1.44	0.36	1.08
18.69	2.16	0	-3.78
18.742	5.22	-0.54	-8.64
18.798	7.56	-0.9	-11.88
18.856	8.28	-1.26	-12.78
18.914	7.2	-1.44	-11.34
18.967	4.68	-1.62	-7.74
19.024	0.9	-1.44	-2.7
19.079	-2.88	-1.26	3.24
19.135	-6.3	-1.08	8.46
19.19	-8.28	-0.72	12.6
19.246	-8.64	-0.54	14.58
19.302	-7.2	-0.18	14.22
19.36	-4.14	0	11.7
19.415	-0.36	0.18	7.38
19.47	3.42	0.36	2.34
19.522	6.48	0.54	-3.06
19.577	8.46	0.54	-7.92
19.632	8.82	0.72	-11.16
19.685	7.38	0.72	-12.6
19.74	4.68	0.72	-11.88
19.794	1.08	0.72	-9
19.848	-2.88	0.54	-4.14
19.907	-6.3	0.18	1.44
19.96	-8.1	0	6.66
20.012	-8.46	-0.36	11.16
20.068	-7.2	-0.9	14.04
20.127	-4.32	-1.26	14.58
20.183	-0.54	-1.44	12.78
20.239	3.06	-1.62	9
20.292	5.94	-1.8	4.14
20.345	7.56	-1.62	-1.26
20.403	7.74	-1.44	-6.66
20.461	5.94	-0.9	-10.98
20.523	2.7	-0.36	-12.6
20.582	-1.08	0.36	-11.7
20.639	-4.5	0.72	-8.82
20.695	-7.02	1.08	-3.78
20.752	-7.74	1.26	1.98
20.807	-7.02	1.26	7.2
20.861	-4.86	1.26	11.34
20.913	-1.8	0.9	14.04
20.967	1.8	0.54	14.76
21.017	4.86	0.18	13.5
21.068	7.2	-0.18	10.26
21.121	8.1	-0.54	5.58
21.175	7.74	-0.9	0.36
21.224	5.76	-1.08	-4.68
21.28	2.7	-1.26	-9.18
21.337	-1.26	-1.26	-12.06
21.395	-5.04	-1.26	-12.42
21.453	-7.56	-1.08	-10.44
21.512	-8.64	-0.9	-6.12
21.568	-7.74	-0.9	-0.72
21.626	-5.22	-0.72	5.04
21.68	-1.8	-0.54	9.9
21.735	1.98	-0.36	13.14
21.79	5.4	-0.18	14.58
21.84	7.56	0	14.04
21.891	8.46	0.36	11.52
21.943	7.74	0.54	7.56
21.996	5.76	0.72	2.7
22.046	2.88	0.9	-2.34
22.099	-0.54	1.08	-7.38
22.154	-3.96	1.08	-10.8
22.208	-6.48	0.9	-12.42
22.261	-7.74	0.54	-11.88
22.314	-7.56	0.18	-9.54
22.368	-5.76	-0.36	-4.68
22.428	-2.52	-0.9	1.26
22.487	1.26	-1.26	6.66
22.54	4.32	-1.62	10.98
22.595	6.48	-1.8	13.86
22.65	7.38	-1.8	14.58
22.706	6.84	-1.62	12.96
22.759	4.68	-1.44	9.54
22.813	1.8	-0.9	4.68
22.868	-1.8	-0.36	-0.9
22.928	-5.04	0.18	-6.12
22.982	-7.02	0.54	-10.08
23.035	-7.74	0.9	-12.24
23.088	-6.84	1.08	-12.24
23.145	-4.32	1.08	-9.9
23.202	-0.9	1.08	-5.94
23.256	2.52	0.9	-0.9
23.309	5.58	0.54	4.5
23.36	7.56	0.18	9.18
23.414	8.1	0	12.78
23.465	7.2	-0.36	14.4
23.519	5.04	-0.54	14.04
23.574	1.8	-0.72	11.52
23.63	-1.98	-0.9	7.02
23.686	-5.22	-0.9	1.62
23.743	-7.56	-1.08	-3.96
23.8	-8.28	-1.08	-8.82
23.858	-7.2	-1.08	-11.7
23.916	-4.5	-1.08	-12.42
23.975	-0.9	-1.08	-10.62
24.032	2.7	-0.9	-6.84
24.088	5.76	-0.72	-1.8
24.143	7.56	-0.36	3.96
24.196	7.92	0	8.46
24.248	6.66	0.36	12.24
24.299	4.32	0.54	14.22
24.35	1.26	0.9	14.4
24.4	-1.8	1.08	12.42
24.455	-4.86	1.26	8.82
24.508	-6.84	1.08	3.78
24.563	-7.38	0.9	-1.8
24.62	-6.48	0.54	-6.84
24.677	-3.96	0.18	-10.62
24.733	-0.72	-0.36	-12.42
24.792	2.7	-0.9	-11.7
24.847	5.58	-1.26	-8.82
24.904	7.02	-1.62	-4.32
24.959	7.2	-1.8	1.08
25.013	5.76	-1.8	6.3
25.066	3.06	-1.62	10.62
25.12	-0.18	-1.26	13.68
25.177	-3.6	-0.9	14.4
25.234	-6.3	-0.36	12.78
25.291	-7.56	0	9.36
25.341	-7.38	0.36	4.68
25.394	-5.94	0.54	-0.18
25.448	-3.06	0.72	-5.58
25.506	0.54	0.72	-9.72
25.56	3.78	0.72	-11.88
25.614	6.48	0.72	-12.06
25.669	7.92	0.54	-10.26
25.723	7.92	0.36	-6.3
25.778	6.12	0.18	-1.44
25.831	3.42	0	3.78
25.882	0.18	-0.18	8.82
25.936	-3.24	-0.36	12.6
25.992	-6.12	-0.54	14.22
26.049	-7.74	-0.9	13.68
26.105	-7.74	-1.08	10.8
26.164	-6.12	-1.26	6.3
26.22	-3.06	-1.26	0.9
26.277	0.36	-1.44	-4.32
26.333	3.78	-1.26	-8.82
26.388	6.12	-1.08	-11.52
26.444	7.38	-0.9	-12.24
26.499	7.02	-0.54	-10.62
26.554	5.22	0	-7.38
26.607	2.52	0.36	-2.7
26.661	-0.72	0.72	2.7
26.713	-3.6	1.08	7.92
26.77	-5.94	1.26	11.88
26.823	-7.02	1.26	14.04
26.879	-6.66	1.08	14.04
26.933	-4.86	0.72	12.24
26.985	-2.16	0.36	8.46
27.04	1.08	0	3.78
27.09	3.96	-0.54	-1.62
27.146	6.12	-0.9	-6.48
27.2	7.2	-1.26	-10.26
27.256	6.66	-1.44	-12.06
27.312	4.68	-1.44	-11.7
27.369	1.62	-1.44	-9.18
27.425	-1.8	-1.26	-4.5
27.485	-5.04	-1.08	1.26
27.541	-7.02	-0.72	6.66
27.596	-7.56	-0.36	10.98
27.655	-6.66	-0.18	13.68
27.71	-4.32	0	14.22
27.764	-1.08	0.18	12.78
27.815	2.16	0.36	9.54
27.866	5.04	0.54	5.22
27.917	7.02	0.54	0.18
27.968	7.74	0.54	-4.5
28.021	7.2	0.54	-8.82
28.076	5.22	0.54	-11.52
28.134	2.16	0.54	-12.06
28.186	-1.08	0.54	-10.44
28.241	-4.32	0.18	-7.02
28.295	-6.48	0	-2.16
28.351	-7.38	-0.36	3.78
28.409	-6.84	-0.72	8.82
28.467	-4.68	-1.08	12.6
28.525	-1.62	-1.44	14.22
28.581	1.8	-1.62	13.5
28.635	4.5	-1.62	10.98
28.689	6.48	-1.62	6.66
28.743	7.02	-1.26	1.44
28.798	5.94	-0.9	-3.78
28.855	3.78	-0.54	-8.28
28.91	0.9	0	-11.16
28.96	-1.98	0.54	-12.06
29.016	-4.68	0.9	-10.98
29.07	-6.48	1.08	-8.1
29.123	-6.84	1.26	-3.42
29.18	-5.76	1.26	1.98
29.235	-3.42	1.08	7.2
29.289	-0.54	0.72	11.34
29.343	2.7	0.36	13.68
29.393	5.04	0	14.22
29.444	6.66	-0.36	12.78
29.499	7.2	-0.72	9.18
29.555	6.12	-1.08	4.5
29.608	3.78	-1.26	-0.72
29.664	0.72	-1.26	-5.76
29.718	-2.52	-1.26	-9.72
29.777	-5.4	-1.08	-11.88
29.834	-7.2	-0.9	-11.7
29.892	-7.38	-0.9	-9.18
29.95	-5.94	-0.72	-4.68
30.009	-3.24	-0.54	1.08
30.068	0.18	-0.36	6.3
30.121	3.24	-0.18	10.44
30.173	5.76	0	13.32
30.226	7.2	0.18	14.22
30.281	7.2	0.54	12.96
30.334	5.94	0.54	9.9
30.386	3.6	0.72	5.76
30.438	0.54	0.9	0.9
30.49	-2.34	0.9	-4.14
30.546	-5.04	0.72	-8.64
30.601	-6.66	0.54	-11.34
30.655	-6.84	0.18	-12.06
30.71	-5.76	-0.18	-10.44
30.767	-3.24	-0.72	-6.66
30.827	0	-1.08	-1.8
30.882	2.88	-1.44	3.78
30.937	5.22	-1.62	8.64
30.992	6.48	-1.8	12.24
31.045	6.3	-1.62	14.04
31.101	4.86	-1.44	13.5
31.156	2.34	-0.9	11.16
31.211	-0.72	-0.54	6.84
31.267	-3.78	0	1.62
31.323	-5.76	0.54	-3.42
31.38	-6.66	0.9	-8.1
31.435	-6.12	1.08	-11.16
31.493	-4.14	1.08	-12.06
31.551	-1.26	1.08	-10.62
31.605	1.98	0.9	-7.38
31.66	4.68	0.54	-2.52
31.715	6.48	0.18	2.7
31.768	7.02	0	7.56
31.821	6.48	-0.36	11.52
31.877	4.32	-0.54	13.68
31.932	1.44	-0.72	13.86
31.989	-1.98	-0.9	11.52
32.046	-4.86	-1.08	7.38
32.104	-6.84	-1.08	1.98
32.162	-7.2	-1.08	-3.6
32.222	-6.12	-1.08	-8.28
32.28	-3.6	-1.08	-11.16
32.338	-0.36	-0.9	-11.88
32.398	3.06	-0.72	-10.26
32.455	5.58	-0.54	-6.48
32.513	6.84	-0.18	-1.44
32.569	6.66	0.18	3.6
32.62	5.4	0.36	8.28
32.672	3.06	0.72	11.88
32.723	0.18	0.9	13.86
32.778	-2.7	1.08	13.68
32.833	-5.04	1.08	11.7
32.886	-6.3	0.9	7.92
32.939	-6.48	0.72	3.24
32.992	-5.22	0.36	-1.8
33.046	-2.88	-0.18	-6.84
33.103	0	-0.54	-10.26
33.16	2.88	-1.08	-11.88
33.216	5.22	-1.44	-11.16
33.272	6.3	-1.62	-8.46
33.328	5.94	-1.62	-3.96
33.385	4.32	-1.62	1.26
33.438	1.98	-1.26	6.3
33.491	-0.9	-1.08	10.62
33.547	-3.78	-0.72	13.32
33.605	-5.94	-0.18	13.86
33.664	-6.66	0.18	12.24
33.717	-6.12	0.36	8.82
33.77	-4.32	0.54	4.32
33.821	-1.8	0.72	-0.54
33.876	1.26	0.72	-5.4
33.929	3.96	0.72	-9.18
33.982	6.12	0.72	-11.34
34.034	7.02	0.54	-11.7
34.089	6.66	0.36	-10.08
34.14	5.22	0.18	-6.66
34.192	2.7	0	-2.16
34.244	-0.18	-0.18	3.24
34.299	-3.24	-0.36	8.1
34.356	-5.58	-0.72	11.88
34.411	-6.84	-0.9	13.68
34.467	-6.66	-1.08	13.5
34.524	-5.22	-1.26	10.98
34.579	-2.7	-1.26	7.02
34.633	0.36	-1.26	2.16
34.687	3.24	-1.26	-2.88
34.743	5.4	-1.08	-7.56
34.799	6.48	-0.72	-10.62
34.857	6.12	-0.36	-11.88
34.912	4.5	0	-10.8
34.965	2.16	0.54	-8.1
35.017	-0.54	0.72	-3.78
35.071	-3.24	1.08	1.26
35.123	-5.04	1.08	6.3
35.176	-6.12	1.08	10.44
35.23	-5.76	1.08	13.14
35.284	-4.32	0.72	13.86
35.337	-2.16	0.36	12.78
35.388	0.54	0	9.9
35.438	3.06	-0.54	5.76
35.491	5.04	-0.9	0.54
35.547	6.12	-1.26	-4.5
35.603	5.94	-1.44	-8.64
35.657	4.5	-1.44	-11.16
35.714	1.98	-1.44	-11.7
35.771	-1.08	-1.26	-9.9
35.829	-3.78	-1.08	-5.94
35.887	-5.94	-0.72	-0.72
35.947	-6.66	-0.36	5.04
36.005	-5.94	-0.18	9.54
36.06	-3.78	0	12.6
36.113	-1.26	0.18	13.86
36.166	1.62	0.36	13.14
36.219	4.32	0.36	10.62
36.27	5.94	0.54	6.84
36.32	6.84	0.54	2.16
36.372	6.48	0.54	-2.7
36.425	4.86	0.54	-7.02
36.479	2.34	0.54	-10.26
36.533	-0.36	0.36	-11.7
36.587	-3.42	0.18	-10.98
36.643	-5.4	0	-8.28
36.697	-6.48	-0.36	-3.6
36.757	-6.12	-0.72	1.98
36.813	-4.5	-1.08	7.2
36.871	-1.8	-1.26	11.16
36.928	1.08	-1.44	13.32
36.98	3.42	-1.62	13.68
37.035	5.22	-1.44	11.88
37.087	5.94	-1.26	8.64
37.139	5.58	-0.9	4.14
37.192	3.96	-0.54	-0.72
37.248	1.62	0	-5.76
37.304	-1.26	0.36	-9.54
37.36	-3.6	0.72	-11.52
37.416	-5.4	1.08	-11.16
37.473	-5.76	1.08	-8.82
37.53	-5.04	1.08	-4.68
37.588	-3.06	0.9	0.54
37.64	-0.54	0.54	5.4
37.692	1.98	0.36	9.54
37.744	4.32	-0.18	12.6
37.801	5.76	-0.54	13.68
37.856	6.12	-0.72	12.78
37.909	5.22	-1.08	9.9
37.962	3.42	-1.26	5.94
38.016	0.72	-1.26	0.72
38.07	-1.98	-1.26	-4.32
38.128	-4.68	-1.08	-8.64
38.186	-6.12	-0.9	-11.16
38.244	-6.48	-0.72	-11.52
38.302	-5.22	-0.54	-9.36
38.362	-2.88	-0.36	-5.22
38.421	0.18	-0.18	-0.18
38.477	3.06	0	4.68
38.527	5.04	0.18	9
38.579	6.3	0.36	12.06
38.629	6.3	0.36	13.5
38.68	5.4	0.54	13.32
38.733	3.42	0.72	11.16
38.786	0.9	0.72	7.56
38.837	-1.62	0.72	2.88
38.891	-3.96	0.54	-2.34
38.948	-5.58	0.36	-7.02
39.006	-5.94	0	-10.44
39.064	-5.04	-0.36	-11.52
39.121	-2.88	-0.72	-10.44
39.181	0	-1.08	-7.2
39.237	2.52	-1.44	-2.7
39.291	4.5	-1.62	2.34
39.344	5.58	-1.62	6.84
39.397	5.58	-1.44	10.62
39.448	4.32	-1.26	13.14
39.504	2.16	-0.9	13.5
39.559	-0.36	-0.54	11.7
39.615	-2.88	0	8.46
39.669	-4.68	0.36	3.6
39.723	-5.76	0.72	-1.26
39.778	-5.58	0.9	-5.94
39.834	-3.96	1.08	-9.72
39.891	-1.62	0.9	-11.34
39.946	0.9	0.72	-10.98
39.998	3.42	0.54	-9
40.051	5.22	0.36	-5.22
40.105	6.12	0	-0.54
40.158	5.94	-0.18	4.68
40.212	4.5	-0.54	9
40.267	2.16	-0.72	12.06
40.318	-0.36	-0.9	13.5
40.374	-3.06	-0.9	12.78
40.432	-5.22	-1.08	9.9
40.488	-6.3	-1.08	5.4
40.546	-5.94	-1.08	0.36
40.601	-4.5	-1.08	-4.68
40.661	-1.98	-0.9	-8.82
40.718	0.9	-0.72	-10.98
40.773	3.6	-0.54	-11.16
40.828	5.4	-0.18	-9.36
40.884	6.12	0	-5.94
40.938	5.58	0.36	-1.44
40.989	4.14	0.54	3.42
41.04	1.98	0.72	7.74
41.089	-0.36	0.9	11.34
41.144	-2.88	0.9	13.14
41.196	-4.68	0.9	13.32
41.25	-5.58	0.72	11.52
41.301	-5.4	0.54	8.1
41.356	-4.14	0	3.42
41.41	-2.16	-0.36	-1.62
41.469	0.54	-0.72	-6.48
41.527	3.06	-1.08	-9.9
41.585	4.86	-1.44	-11.34
41.641	5.4	-1.44	-10.62
41.697	4.86	-1.44	-7.74
41.755	3.06	-1.44	-3.24
41.812	0.72	-1.08	1.8
41.866	-1.8	-0.72	6.84
41.922	-3.96	-0.36	10.8
41.978	-5.4	0	12.96
42.032	-5.76	0.18	13.32
42.085	-5.04	0.54	11.7
42.137	-3.06	0.54	8.64
42.191	-0.72	0.72	4.14
42.245	1.98	0.72	-0.54
42.299	4.14	0.72	-5.04
42.351	5.58	0.54	-8.82
42.405	6.12	0.36	-10.98
42.455	5.58	0.18	-11.16
42.507	3.96	0	-9.72
42.562	1.44	-0.18	-6.12
42.618	-1.26	-0.36	-1.26
42.677	-3.78	-0.54	4.14
42.73	-5.4	-0.72	8.46
42.786	-6.12	-0.9	11.88
42.841	-5.58	-1.08	13.32
42.897	-3.78	-1.26	12.78
42.953	-1.44	-1.26	10.26
43.007	1.26	-1.26	6.48
43.059	3.42	-1.08	1.8
43.112	5.04	-0.9	-3.06
43.17	5.58	-0.54	-7.56
43.226	5.04	-0.18	-10.26
43.281	3.42	0.18	-11.16
43.334	1.26	0.54	-10.26
43.387	-1.26	0.9	-7.38
43.444	-3.42	1.08	-2.88
43.5	-4.86	1.08	2.34
43.556	-5.22	0.9	7.02
43.61	-4.5	0.72	10.8
43.665	-2.7	0.36	12.96
